Unixtime;Date;Local time;66b62168512d3a00235da840;66b620f2512d3a00235da81a;66b62132512d3a00235da82d;66b621a0512d3a00235da853;66b621e7512d3a00235da866;66b62267512d3a00235da879
;;;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::3;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::1;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::2;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::4;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::5;ATM:METS.6-METM.1:PYRM:IRRM::IRR:::CURT::6
;;;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie;ATMOS Metrologie
;;;Atmosphäre;Atmosphäre;Atmosphäre;Atmosphäre;Atmosphäre;Atmosphäre
;;;DNI_GC, SOLms80shplus_A;GHI, SOLms80shplus_A;DHI_GC, SOLms80shplus_A;DHI, SOLms80shplus_A;DNI, SOLms80shplus_A;Transposed Irradiance, SOLms80shplus_A
UTC;;Europe/Berlin;W/m²;W/m²;W/m²;W/m²;W/m²;W/m²
1737285300000;2025-01-19;12:15:00.000;33.4938775510204;159.7775862068966;147.67999999999995;157.11272727272728;7.00943396226415;166.59642857142862
1737286200000;2025-01-19;12:30:00.000;29.95192307692309;149.33900000000006;138.88518518518518;147.72830188679245;5.552727272727274;155.5259259259259
1737287100000;2025-01-19;12:45:00.000;25.674074074074074;130.6;121.35370370370367;129.11111111111111;4.163461538461539;135.48545454545453
1737288000000;2025-01-19;13:00:00.000;22.513207547169813;124.5652866242038;116.29814814814816;123.73518518518519;1.7826923076923085;128.29038461538465
1737288900000;2025-01-19;13:15:00.000;23.923636363636362;142.58431372549023;131.4981132075472;139.83846153846153;-0.007999999999999962;143.46545454545458
1737289800000;2025-01-19;13:30:00.000;45.596296296296295;210.16564102564104;194.14545454545458;206.67142857142858;9.807272727272727;219.35535714285712
1737290700000;2025-01-19;13:45:00.000;85.76964285714287;246.19022004889965;215.96964285714287;229.74999999999997;44.369642857142864;269.33272727272725
1737291600000;2025-01-19;14:00:00.000;57.62222222222222;201.5407124681933;183.09999999999997;194.78363636363636;20.803636363636368;215.77222222222224
1737292500000;2025-01-19;14:15:00.000;67.2181818181818;144.24029850746265;123.9857142857143;132.59272727272727;41.06428571428571;164.67142857142852
1737293400000;2025-01-19;14:30:00.000;269.1892857142857;163.24191176470597;84.82037037037038;90.21090909090907;250.2535714285714;262.0035714285714
1737294300000;2025-01-19;14:45:00.000;330.1963636363636;165.26689497716907;78.57608695652175;83.79375;311.25454545454545;288.0054545454545
1737295200000;2025-01-19;15:00:00.000;361.9107142857143;165.54915662650598;78.90576923076924;83.77777777777776;340.2818181818183;295.77321428571435
1737296100000;2025-01-19;15:15:00.000;465.0678571428571;167.6472303206998;66.91199999999999;71.09423076923076;445.5910714285714;331.13773584905675
1737297000000;2025-01-19;15:30:00.000;440.8851851851851;141.44151624548732;57.128888888888895;60.68367346938776;421.8277777777776;290.54230769230765
1737297900000;2025-01-19;15:45:00.000;391.20909090909083;113.13759124087584;49.06399999999999;52.18076923076923;372.01851851851853;241.32727272727277
1737298800000;2025-01-19;16:00:00.000;319.8314814814815;84.7665217391304;42.30625;45.056521739130446;299.31666666666666;184.58727272727265
1737299700000;2025-01-19;16:15:00.000;224.6;54.18238095238093;33.198039215686265;35.286538461538456;203.42142857142858;123.00178571428572
1737300600000;2025-01-19;16:30:00.000;26.87547169811321;25.94514285714286;23.134;24.616;4.853703703703705;31.92075471698114
1737301500000;2025-01-19;16:45:00.000;;12.454787234042557;;;;
1737302400000;2025-01-19;17:00:00.000;;4.766438356164388;;;;
1737303300000;2025-01-19;17:15:00.000;;1.666225165562914;;;;
1737304200000;2025-01-19;17:30:00.000;;0.16808510638297888;;;;
1737305100000;2025-01-19;17:45:00.000;;-0.05273972602739717;;;;
1737306000000;2025-01-19;18:00:00.000;;0.05263157894736843;;;;
1737306900000;2025-01-19;18:15:00.000;;-0.12903225806451604;;;;
1737307800000;2025-01-19;18:30:00.000;;-0.22627737226277367;;;;
1737308700000;2025-01-19;18:45:00.000;;-0.18394160583941613;;;;
1737309600000;2025-01-19;19:00:00.000;;-0.1826923076923078;;;;
1737310500000;2025-01-19;19:15:00.000;;-0.13356643356643355;;;;
1737311400000;2025-01-19;19:30:00.000;;-0.08962962962962949;;;;
1737312300000;2025-01-19;19:45:00.000;;-0.20329670329670313;;;;
1737313200000;2025-01-19;20:00:00.000;;-0.3424050632911392;;;;
1737314100000;2025-01-19;20:15:00.000;;-0.26748466257668707;;;;
1737315000000;2025-01-19;20:30:00.000;;-0.23733333333333348;;;;
1737315900000;2025-01-19;20:45:00.000;;-0.08862275449101796;;;;
1737316800000;2025-01-19;21:00:00.000;;-0.30060975609756085;;;;
1737317700000;2025-01-19;21:15:00.000;;-0.11184210526315783;;;;
1737318600000;2025-01-19;21:30:00.000;;-0.2666666666666664;;;;
1737319500000;2025-01-19;21:45:00.000;;-0.06874999999999999;;;;
1737320400000;2025-01-19;22:00:00.000;;-0.04437869822485207;;;;
1737321300000;2025-01-19;22:15:00.000;;-0.2931818181818181;;;;
1737322200000;2025-01-19;22:30:00.000;;-0.043918918918918914;;;;
1737323100000;2025-01-19;22:45:00.000;;0.042783505154639204;;;;
1737324000000;2025-01-19;23:00:00.000;;-0.2761111111111108;;;;
1737324900000;2025-01-19;23:15:00.000;;0.013744075829383886;;;;
1737325800000;2025-01-19;23:30:00.000;;-0.07435897435897432;;;;
1737326700000;2025-01-19;23:45:00.000;;-0.27804878048780485;;;;
1737327599000;2025-01-19;23:59:59.000;;0.06000000000000004;;;;
